Uniprot ID	Entry name	Status	Protein names	Gene names	Organism	Length	Source of Contamination
Q7Z3Y7	K1C28_HUMAN	reviewed	Keratin, type I cytoskeletal 28 (Cytokeratin-28) (CK-28) (Keratin-25D) (K25D) (Keratin-28) (K28) (Type I inner root sheath-specific keratin-K25irs4)	KRT28 KRT25D	Homo sapiens (Human)	464	Human skin and hair
Q7Z3Y8	K1C27_HUMAN	reviewed	Keratin, type I cytoskeletal 27 (Cytokeratin-27) (CK-27) (Keratin-25C) (K25C) (Keratin-27) (K27) (Type I inner root sheath-specific keratin-K25irs3)	KRT27 KRT25C	Homo sapiens (Human)	459	Human skin and hair
Q7Z3Y9	K1C26_HUMAN	reviewed	Keratin, type I cytoskeletal 26 (Cytokeratin-26) (CK-26) (Keratin-25B) (K25B) (Keratin-26) (K26) (Type I inner root sheath-specific keratin-K25irs2)	KRT26 KRT25B	Homo sapiens (Human)	468	Human skin and hair
Q7Z3Z0	K1C25_HUMAN	reviewed	Keratin, type I cytoskeletal 25 (Cytokeratin-25) (CK-25) (Keratin-25) (K25) (Keratin-25A) (K25A) (Type I inner root sheath-specific keratin-K25irs1)	KRT25 KRT25A	Homo sapiens (Human)	450	Human skin and hair
Q7Z4W3	KR193_HUMAN	reviewed	Keratin-associated protein 19-3 (GTHRP) (Glycine/tyrosine-rich protein)	KRTAP19-3 KAP19.3	Homo sapiens (Human)	81	Human skin and hair
Q7Z794	K2C1B_HUMAN	reviewed	Keratin, type II cytoskeletal 1b (Cytokeratin-1B) (CK-1B) (Keratin-77) (K77) (Type-II keratin Kb39)	KRT77 KRT1B	Homo sapiens (Human)	578	Human skin and hair
Q86Y46	K2C73_HUMAN	reviewed	Keratin, type II cytoskeletal 73 (Cytokeratin-73) (CK-73) (Keratin-73) (K73) (Type II inner root sheath-specific keratin-K6irs3) (Type-II keratin Kb36)	KRT73 K6IRS3 KB36 KRT6IRS3	Homo sapiens (Human)	540	Human skin and hair
Q86YZ3	HORN_HUMAN	reviewed	Hornerin	HRNR S100A18	Homo sapiens (Human)	2850	Human skin and hair
Q8IUB9	KR191_HUMAN	reviewed	Keratin-associated protein 19-1 (High tyrosine-glycine keratin-associated protein 19.1)	KRTAP19-1 KAP19.1 KRTAP19.1	Homo sapiens (Human)	90	Human skin and hair
Q8IUC0	KR131_HUMAN	reviewed	Keratin-associated protein 13-1 (High sulfur keratin-associated protein 13.1)	KRTAP13-1 KAP13.1 KRTAP13.1	Homo sapiens (Human)	172	Human skin and hair
Q8IUC1	KR111_HUMAN	reviewed	Keratin-associated protein 11-1 (High sulfur keratin-associated protein 11.1)	KRTAP11-1 KAP11.1 KRTAP11.1	Homo sapiens (Human)	163	Human skin and hair
Q8IUC2	KRA81_HUMAN	reviewed	Keratin-associated protein 8-1 (High glycine-tyrosine keratin-associated protein 8.1)	KRTAP8-1 KAP8.1 KRTAP8.1	Homo sapiens (Human)	63	Human skin and hair
Q8IUC3	KRA71_HUMAN	reviewed	Keratin-associated protein 7-1 (High tyrosine-glycine keratin-associated protein 7.1)	KRTAP7-1 KAP7.1 KRTAP7.1	Homo sapiens (Human)	87	Human skin and hair
Q8IUG1	KRA13_HUMAN	reviewed	Keratin-associated protein 1-3 (Keratin-associated protein 1.8) (Keratin-associated protein 1.9)	KRTAP1-3 B2B KAP1.2 KAP1.3 KAP1.8 KAP1.9 KRATP1.9 KRTAP1.8	Homo sapiens (Human)	177	Human skin and hair
Q8N1A0	KT222_HUMAN	reviewed	Keratin-like protein KRT222 (Keratin-222) (Keratin-222 pseudogene)	KRT222 KA21 KRT222P	Homo sapiens (Human)	295	Human skin and hair
Q8N1N4	K2C78_HUMAN	reviewed	Keratin, type II cytoskeletal 78 (Cytokeratin-78) (CK-78) (Keratin-5b) (Keratin-78) (K78) (Type-II keratin Kb40)	KRT78 K5B KB40	Homo sapiens (Human)	520	Human skin and hair
Q92764	KRT35_HUMAN	reviewed	Keratin, type I cuticular Ha5 (Hair keratin, type I Ha5) (Keratin-35) (K35)	KRT35 HHA5 HKA5 KRTHA5	Homo sapiens (Human)	455	Human skin and hair
Q99456	K1C12_HUMAN	reviewed	Keratin, type I cytoskeletal 12 (Cytokeratin-12) (CK-12) (Keratin-12) (K12)	KRT12	Homo sapiens (Human)	494	Human skin and hair
Q9BQ66	KR412_HUMAN	reviewed	Keratin-associated protein 4-12 (Keratin-associated protein 4.12) (Ultrahigh sulfur keratin-associated protein 4.12)	KRTAP4-12 KAP4.12 KRTAP4.12	Homo sapiens (Human)	201	Human skin and hair
Q9BYP8	KR171_HUMAN	reviewed	Keratin-associated protein 17-1 (Keratin-associated protein 16.1)	KRTAP17-1 KAP17.1 KRTAP16.1	Homo sapiens (Human)	105	Human skin and hair
Q9BYP9	KRA99_HUMAN	reviewed	Keratin-associated protein 9-9 (Keratin-associated protein 9-5) (Keratin-associated protein 9.5) (Keratin-associated protein 9.9) (Ultrahigh sulfur keratin-associated protein 9.9)	KRTAP9-9 KAP9.5 KAP9.9 KRTAP9-5 KRTAP9.5 KRTAP9.9	Homo sapiens (Human)	154	Human skin and hair
Q9BYQ0	KRA98_HUMAN	reviewed	Keratin-associated protein 9-8 (Keratin-associated protein 9.8) (Ultrahigh sulfur keratin-associated protein 9.8)	KRTAP9-8 KAP9.8 KRTAP9.8	Homo sapiens (Human)	159	Human skin and hair
Q9BYQ2	KRA94_HUMAN	reviewed	Keratin-associated protein 9-4 (Keratin-associated protein 9.4) (Ultrahigh sulfur keratin-associated protein 9.4)	KRTAP9-4 KAP9.4 KRTAP9.4	Homo sapiens (Human)	154	Human skin and hair
Q9BYQ3	KRA93_HUMAN	reviewed	Keratin-associated protein 9-3 (Keratin-associated protein 9.3) (Ultrahigh sulfur keratin-associated protein 9.3)	KRTAP9-3 KAP9.3 KRTAP9.3	Homo sapiens (Human)	159	Human skin and hair
Q9BYQ4	KRA92_HUMAN	reviewed	Keratin-associated protein 9-2 (Keratin-associated protein 9.2) (Ultrahigh sulfur keratin-associated protein 9.2)	KRTAP9-2 KAP9.2 KRTAP9.2	Homo sapiens (Human)	174	Human skin and hair
Q9BYQ5	KRA46_HUMAN	reviewed	Keratin-associated protein 4-6 (Keratin-associated protein 4-15) (Keratin-associated protein 4.15) (Keratin-associated protein 4.6) (Ultrahigh sulfur keratin-associated protein 4.15)	KRTAP4-6 KAP4.15 KRTAP4-15 KRTAP4.15 KRTAP4.6	Homo sapiens (Human)	205	Human skin and hair
Q9BYQ6	KR411_HUMAN	reviewed	Keratin-associated protein 4-11 (Keratin-associated protein 4-14) (Keratin-associated protein 4.11) (Keratin-associated protein 4.14) (Ultrahigh sulfur keratin-associated protein 4.14)	KRTAP4-11 KAP4.14 KRTAP4-14 KRTAP4.11 KRTAP4.14	Homo sapiens (Human)	195	Human skin and hair
Q9BYQ7	KRA41_HUMAN	reviewed	Keratin-associated protein 4-1 (Keratin-associated protein 4-10) (Keratin-associated protein 4.1) (Keratin-associated protein 4.10) (Ultrahigh sulfur keratin-associated protein 4.10)	KRTAP4-1 KAP4.10 KRTAP4-10 KRTAP4.1 KRTAP4.10	Homo sapiens (Human)	146	Human skin and hair
Q9BYQ8	KRA49_HUMAN	reviewed	Keratin-associated protein 4-9 (Keratin-associated protein 4.9) (Ultrahigh sulfur keratin-associated protein 4.9)	KRTAP4-9 KAP4.9 KRTAP4.9	Homo sapiens (Human)	210	Human skin and hair
Q9BYQ9	KRA48_HUMAN	reviewed	Keratin-associated protein 4-8 (Keratin-associated protein 4.8) (Ultrahigh sulfur keratin-associated protein 4.8)	KRTAP4-8 KAP4.8 KRTAP4.8	Homo sapiens (Human)	185	Human skin and hair
Q9BYR0	KRA47_HUMAN	reviewed	Keratin-associated protein 4-7 (Keratin-associated protein 4.7) (Ultrahigh sulfur keratin-associated protein 4.7)	KRTAP4-7 KAP4.7 KRTAP4.7	Homo sapiens (Human)	210	Human skin and hair
Q9BYR2	KRA45_HUMAN	reviewed	Keratin-associated protein 4-5 (Keratin-associated protein 4.5) (Ultrahigh sulfur keratin-associated protein 4.5)	KRTAP4-5 KAP4.5 KRTAP4.5	Homo sapiens (Human)	181	Human skin and hair
Q9BYR3	KRA44_HUMAN	reviewed	Keratin-associated protein 4-4 (Keratin-associated protein 4-13) (Keratin-associated protein 4.13) (Keratin-associated protein 4.4) (Ultrahigh sulfur keratin-associated protein 4.13) (Ultrahigh sulfur keratin-associated protein 4.4)	KRTAP4-4 KAP4.13 KAP4.4 KRTAP4-13 KRTAP4.13 KRTAP4.4	Homo sapiens (Human)	166	Human skin and hair
Q9BYR4	KRA43_HUMAN	reviewed	Keratin-associated protein 4-3 (Keratin-associated protein 4.3) (Ultrahigh sulfur keratin-associated protein 4.3)	KRTAP4-3 KAP4.3 KRTAP4.3	Homo sapiens (Human)	195	Human skin and hair
Q9BYR5	KRA42_HUMAN	reviewed	Keratin-associated protein 4-2 (Keratin-associated protein 4.2) (Ultrahigh sulfur keratin-associated protein 4.2)	KRTAP4-2 KAP4.2 KRTAP4.2	Homo sapiens (Human)	136	Human skin and hair
Q9BYR6	KRA33_HUMAN	reviewed	Keratin-associated protein 3-3 (High sulfur keratin-associated protein 3.3) (Keratin-associated protein 3.3)	KRTAP3-3 KAP3.3 KRTAP3.3	Homo sapiens (Human)	98	Human skin and hair
Q9BYR7	KRA32_HUMAN	reviewed	Keratin-associated protein 3-2 (High sulfur keratin-associated protein 3.2) (Keratin-associated protein 3.2)	KRTAP3-2 KAP3.2 KRTAP3.2	Homo sapiens (Human)	98	Human skin and hair
Q9BYR8	KRA31_HUMAN	reviewed	Keratin-associated protein 3-1 (High sulfur keratin-associated protein 3.1) (Keratin-associated protein 3.1)	KRTAP3-1 KAP3.1 KRTAP3.1	Homo sapiens (Human)	98	Human skin and hair
Q9BYR9	KRA24_HUMAN	reviewed	Keratin-associated protein 2-4 (High sulfur keratin-associated protein 2.4) (Keratin-associated protein 2.4)	KRTAP2-4 KAP2.4 KRTAP2.4	Homo sapiens (Human)	128	Human skin and hair
Q9BYS1	KRA15_HUMAN	reviewed	Keratin-associated protein 1-5 (High sulfur keratin-associated protein 1.5) (Keratin-associated protein 1.5)	KRTAP1-5 KAP1.5 KRTAP1.5	Homo sapiens (Human)	174	Human skin and hair
Q9BYT5	KRA22_HUMAN	reviewed	Keratin-associated protein 2-2 (High sulfur keratin-associated protein 2.2) (Keratin-associated protein 2.2)	KRTAP2-2 KAP2.2 KRTAP2.2	Homo sapiens (Human)	123	Human skin and hair
Q9BYU5	KRA21_HUMAN	reviewed	Keratin-associated protein 2-1 (High sulfur keratin-associated protein 2.1) (Keratin-associated protein 2.1)	KRTAP2-1 KAP2.1 KRTAP2.1A KRTAP2.1B	Homo sapiens (Human)	128	Human skin and hair
Q9C075	K1C23_HUMAN	reviewed	Keratin, type I cytoskeletal 23 (Cytokeratin-23) (CK-23) (Keratin-23) (K23)	KRT23	Homo sapiens (Human)	422	Human skin and hair
Q9NSB2	KRT84_HUMAN	reviewed	Keratin, type II cuticular Hb4 (Keratin-84) (K84) (Type II hair keratin Hb4) (Type-II keratin Kb24)	KRT84 KRTHB4	Homo sapiens (Human)	600	Human skin and hair
Q9NSB4	KRT82_HUMAN	reviewed	Keratin, type II cuticular Hb2 (Keratin-82) (K82) (Type II hair keratin Hb2) (Type-II keratin Kb22)	KRT82 KRTHB2	Homo sapiens (Human)	513	Human skin and hair
P15252	REF_HEVBR	reviewed	Rubber elongation factor protein (HbREF) (allergen Hev b 1)		Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis)	138	Latex gloves
O82803	SRPP_HEVBR	reviewed	Small rubber particle protein (HbSRPP) (22 kDa rubber particle protein) (22 kDa RPP) (27 kDa natural rubber allergen) (Latex allergen Hev b 3) (allergen Hev b 3)	SRPP HEVB3	Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis)	204	Latex gloves
Q1WEI2	Q1WEI2_PSEAI	unreviewed	Protease IV	prpL	Pseudomonas aeruginosa	462	Lys-C protease enzyme
Q61765	K1H1_MOUSE	reviewed	Keratin, type I cuticular Ha1 (HKA-1) (Hair keratin, type I Ha1) (Keratin-31) (K31)	Krt31 Hka1 Krt1-1 Krtha1	Mus musculus (Mouse)	416	Mouse skin and hair 
Q62168	K1H2_MOUSE	reviewed	Keratin, type I cuticular Ha2 (Hair keratin, type I Ha2) (Keratin-32) (K32)	Krt32 Hka2 Krt1-2 Krtha2	Mus musculus (Mouse)	407	Mouse skin and hair 
Q9D646	KRT34_MOUSE	reviewed	Keratin, type I cuticular Ha4 (Hair keratin, type I Ha4) (Keratin-34) (K34)	Krt34 Ha4 Krt1-4	Mus musculus (Mouse)	392	Mouse skin and hair 
Q497I4	KRT35_MOUSE	reviewed	Keratin, type I cuticular Ha5 (Hair keratin, type I Ha5) (Keratin-35) (K35)	Krt35 Krt1-24	Mus musculus (Mouse)	455	Mouse skin and hair 
P02535	K1C10_MOUSE	reviewed	Keratin, type I cytoskeletal 10 (56 kDa cytokeratin) (Cytokeratin-10) (CK-10) (Keratin, type I cytoskeletal 59 kDa) (Keratin-10) (K10)	Krt10 Krt1-10	Mus musculus (Mouse)	570	Mouse skin and hair 
P08730	K1C13_MOUSE	reviewed	Keratin, type I cytoskeletal 13 (47 kDa cytokeratin) (Cytokeratin-13) (CK-13) (Keratin-13) (K13)	Krt13 Krt1-13	Mus musculus (Mouse)	437	Mouse skin and hair 
Q9Z2K1	K1C16_MOUSE	reviewed	Keratin, type I cytoskeletal 16 (Cytokeratin-16) (CK-16) (Keratin-16) (K16)	Krt16 Krt1-16	Mus musculus (Mouse)	469	Mouse skin and hair 
Q9QWL7	K1C17_MOUSE	reviewed	Keratin, type I cytoskeletal 17 (Cytokeratin-17) (CK-17) (Keratin-17) (K17)	Krt17 Krt1-17	Mus musculus (Mouse)	433	Mouse skin and hair 
P05784	K1C18_MOUSE	reviewed	Keratin, type I cytoskeletal 18 (Cytokeratin endo B) (Keratin D) (Cytokeratin-18) (CK-18) (Keratin-18) (K18)	Krt18 Kerd Krt1-18	Mus musculus (Mouse)	423	Mouse skin and hair 
P19001	K1C19_MOUSE	reviewed	Keratin, type I cytoskeletal 19 (Cytokeratin-19) (CK-19) (Keratin-19) (K19)	Krt19 Krt1-19	Mus musculus (Mouse)	403	Mouse skin and hair 
Q9D312	K1C20_MOUSE	reviewed	Keratin, type I cytoskeletal 20 (Cytokeratin-20) (CK-20) (Keratin-20) (K20)	Krt20	Mus musculus (Mouse)	431	Mouse skin and hair 
Q99PS0	K1C23_MOUSE	reviewed	Keratin, type I cytoskeletal 23 (Cytokeratin-23) (CK-23) (Keratin-23) (K23)	Krt23 Haik1 Krt1-23	Mus musculus (Mouse)	422	Mouse skin and hair 
Q6IFX4	K1C39_MOUSE	reviewed	Keratin, type I cytoskeletal 39 (Cytokeratin-39) (CK-39) (Keratin-39) (K39) (Type I hair keratin Ka35)	Krt39 Ka35	Mus musculus (Mouse)	482	Mouse skin and hair 
Q6IFX2	K1C42_MOUSE	reviewed	Keratin, type I cytoskeletal 42 (Cytokeratin-42) (CK-42) (Keratin-17n) (Keratin-42) (K42) (Type I keratin Ka22)	Krt42 Ka22	Mus musculus (Mouse)	452	Mouse skin and hair 
Q6IFZ6	K2C1B_MOUSE	reviewed	Keratin, type II cytoskeletal 1b (Cytokeratin-1B) (CK-1B) (Embryonic type II keratin-1) (Keratin-77) (K77) (Type-II keratin Kb39)	Krt77 Krt1b	Mus musculus (Mouse)	572	Mouse skin and hair 
Q3TTY5	K22E_MOUSE	reviewed	Keratin, type II cytoskeletal 2 epidermal (Cytokeratin-2e) (CK-2e) (Epithelial keratin-2e) (Keratin-2 epidermis) (Keratin-2e) (K2e) (Type-II keratin Kb2)	Krt2 K2e Krt2-17 Krt2a	Mus musculus (Mouse)	707	Mouse skin and hair 
P07744	K2C4_MOUSE	reviewed	Keratin, type II cytoskeletal 4 (Cytokeratin-4) (CK-4) (Cytoskeletal 57 kDa keratin) (Keratin-4) (K4) (Type-II keratin Kb4)	Krt4 Krt2-4	Mus musculus (Mouse)	525	Mouse skin and hair 
Q922U2	K2C5_MOUSE	reviewed	Keratin, type II cytoskeletal 5 (Cytokeratin-5) (CK-5) (Keratin-5) (K5) (Type-II keratin Kb5)	Krt5 Krt2-5	Mus musculus (Mouse)	580	Mouse skin and hair 
P50446	K2C6A_MOUSE	reviewed	Keratin, type II cytoskeletal 6A (Cytokeratin-6A) (CK-6A) (Keratin-6-alpha) (mK6-alpha) (Keratin-6A) (K6A)	Krt6a Ker2 Krt2-6 Krt2-6a Krt6	Mus musculus (Mouse)	553	Mouse skin and hair 
Q9DCV7	K2C7_MOUSE	reviewed	Keratin, type II cytoskeletal 7 (Cytokeratin-7) (CK-7) (Keratin-7) (K7) (Type-II keratin Kb7)	Krt7 Krt2-7	Mus musculus (Mouse)	457	Mouse skin and hair 
Q9R0H5	K2C71_MOUSE	reviewed	Keratin, type II cytoskeletal 71 (Cytokeratin-6G) (CK-6G) (Cytokeratin-71) (CK-71) (Keratin-6G) (K6G) (Keratin-71) (K71) (Type II inner root sheath-specific keratin-K6irs1) (mK6irs) (mK6irs1/Krt2-6g) (Type-II keratin Kb34)	Krt71 K6irs1 Kb34 Krt2-6g Krt6g	Mus musculus (Mouse)	524	Mouse skin and hair 
Q6IME9	K2C72_MOUSE	reviewed	Keratin, type II cytoskeletal 72 (Cytokeratin-72) (CK-72) (Keratin-72) (K72) (Type II inner root sheath-specific keratin-K6irs2) (Type-II keratin Kb35)	Krt72 Kb35 Krt72-ps	Mus musculus (Mouse)	520	Mouse skin and hair 
Q6NXH9	K2C73_MOUSE	reviewed	Keratin, type II cytoskeletal 73 (Cytokeratin-73) (CK-73) (Keratin-73) (K73) (Type II inner root sheath-specific keratin-K6irs3) (Type-II keratin Kb36)	Krt73 Kb36	Mus musculus (Mouse)	539	Mouse skin and hair 
Q8BGZ7	K2C75_MOUSE	reviewed	Keratin, type II cytoskeletal 75 (Cytokeratin-75) (CK-75) (Keratin-6 hair follicle) (mK6hf) (Keratin-75) (K75) (Type II keratin-K6hf) (Type-II keratin Kb18)	Krt75 Kb18	Mus musculus (Mouse)	551	Mouse skin and hair 
Q8VED5	K2C79_MOUSE	reviewed	Keratin, type II cytoskeletal 79 (Cytokeratin-79) (CK-79) (Keratin-79) (K79) (Type-II keratin Kb38)	Krt79 Kb38	Mus musculus (Mouse)	531	Mouse skin and hair 
Q0VBK2	K2C80_MOUSE	reviewed	Keratin, type II cytoskeletal 80 (Cytokeratin-80) (CK-80) (Keratin-80) (K80) (Type-II keratin Kb20)	Krt80 Kb20	Mus musculus (Mouse)	452	Mouse skin and hair 
P00330	ADH1_YEAST	reviewed	Alcohol dehydrogenase 1 (EC 1.1.1.1) (Alcohol dehydrogenase I) (YADH-1)	ADH1 ADC1 YOL086C O0947	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	348	Others
P00004	CYC_HORSE	reviewed	Cytochrome c	CYCS CYC	Equus caballus (Horse)	105	Others
P00883	ALDOA_RABIT	reviewed	Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Muscle-type aldolase)	ALDOA	Oryctolagus cuniculus (Rabbit)	364	Others
P32503	GAG_SCVLA	reviewed	Major capsid protein (Gag protein) (Major coat protein)	gag	Saccharomyces cerevisiae virus L-A (ScV-L-A) (ScVL1)	680	Others
P68082	MYG_HORSE	reviewed	Myoglobin	MB	Equus caballus (Horse)	154	Others
P01012	OVAL_CHICK	reviewed	Ovalbumin (Allergen Gal d II) (Egg albumin) (Plakalbumin) (allergen Gal d 2)	SERPINB14	Gallus gallus (Chicken)	386	Others
Q9R4J4	ASPN_PSEFR	reviewed	Peptidyl-Asp metalloendopeptidase (EC 3.4.24.33) (Endopeptidase Asp-N) (Fragments)		Pseudomonas fragi	144	Others
Q32KY0	APOD_BOVIN	reviewed	Apolipoprotein D (Apo-D) (ApoD)	APOD	Bos taurus (Bovine)		Residue cell medium containing FBS
Q2KIX7	HP251_BOVIN	reviewed	Protein HP-25 homolog 1		Bos taurus (Bovine)		Residue cell medium containing FBS
O02659	MBL2_BOVIN	reviewed	Mannose-binding protein C (MBP-C) (Mannan-binding protein)	MBL	Bos taurus (Bovine)		Residue cell medium containing FBS
Q24K22	HGFL_BOVIN	reviewed	"Hepatocyte growth factor-like protein (Macrophage stimulatory protein) (Macrophage-stimulating protein) (MSP) [Cleaved into: Hepatocyte growth factor-like protein alpha chain; Hepatocyte growth factor-like protein beta chain]"	MST1 HGFL	Bos taurus (Bovine)		Residue cell medium containing FBS
Q2KJ39	RCN3_BOVIN	reviewed	Reticulocalbin-3	RCN3	Bos taurus (Bovine)		Residue cell medium containing FBS
Q9TTK6	AOC3_BOVIN	reviewed	Membrane primary amine oxidase (EC 1.4.3.21) (Copper amine oxidase) (Semicarbazide-sensitive amine oxidase) (SSAO) (Vascular adhesion protein 1) (VAP-1)	AOC3	Bos taurus (Bovine)		Residue cell medium containing FBS
P68103	EF1A1_BOVIN	reviewed	Elongation factor 1-alpha 1 (EF-1-alpha-1) (Elongation factor Tu) (EF-Tu) (Eukaryotic elongation factor 1 A-1) (eEF1A-1)	EEF1A1 EEF1A EF1A	Bos taurus (Bovine)		Residue cell medium containing FBS
P12260	F13A_BOVIN	reviewed	Coagulation factor XIII A chain (Coagulation factor XIIIa) (EC 2.3.2.13) (Protein-glutamine gamma-glutamyltransferase A chain) (Transglutaminase A chain) (Fragment)	F13A1 F13A	Bos taurus (Bovine)		Residue cell medium containing FBS
P31836	NCAM1_BOVIN	reviewed	Neural cell adhesion molecule 1 (N-CAM-1) (NCAM-1)	NCAM1 NCAM	Bos taurus (Bovine)		Residue cell medium containing FBS
P42916	CL43_BOVIN	reviewed	Collectin-43 (CL-43) (43 kDa collectin)	CL43	Bos taurus (Bovine)		Residue cell medium containing FBS
P80109	PHLD_BOVIN	reviewed	Phosphatidylinositol-glycan-specific phospholipase D (PI-G PLD) (EC 3.1.4.50) (Glycoprotein phospholipase D) (Glycosyl-phosphatidylinositol-specific phospholipase D) (GPI-PLD) (GPI-specific phospholipase D)	GPLD1 PIGPLD	Bos taurus (Bovine)		Residue cell medium containing FBS
Q29437	AOCX_BOVIN	reviewed	Primary amine oxidase, liver isozyme (EC 1.4.3.21) (Amine oxidase [copper-containing]) (Copper amine oxidase) (Serum amine oxidase) (SAO)		Bos taurus (Bovine)		Residue cell medium containing FBS
Q8SPP7	PGRP1_BOVIN	reviewed	Peptidoglycan recognition protein 1 (Oligosaccharide-binding protein) (OBP) (Peptidoglycan recognition protein short) (PGRP-S)	PGLYRP1 PGLYRP PGRP	Bos taurus (Bovine)		Residue cell medium containing FBS
Q3SYV4	CAP1_BOVIN	reviewed	Adenylyl cyclase-associated protein 1 (CAP 1)	CAP1	Bos taurus (Bovine)		Residue cell medium containing FBS
Q9TTJ5	RGN_BOVIN	reviewed	Regucalcin (RC) (Gluconolactonase) (GNL) (EC 3.1.1.17) (Senescence marker protein 30) (SMP-30)	RGN SMP30	Bos taurus (Bovine)		Residue cell medium containing FBS
A2I7N2	SPA36_BOVIN	reviewed	Serpin A3-6	SERPINA3-6	Bos taurus (Bovine)		Residue cell medium containing FBS
A6QPQ2	SPA38_BOVIN	reviewed	Serpin A3-8	SERPINA3-8	Bos taurus (Bovine)		Residue cell medium containing FBS
A7E3W2	LG3BP_BOVIN	reviewed	Galectin-3-binding protein (Lectin galactoside-binding soluble 3-binding protein)	LGALS3BP	Bos taurus (Bovine)		Residue cell medium containing FBS
G3MYZ3	AFAM_BOVIN	reviewed	Afamin (Alpha-albumin)	AFM	Bos taurus (Bovine)		Residue cell medium containing FBS
O46375	TTHY_BOVIN	reviewed	Transthyretin (Prealbumin)	TTR	Bos taurus (Bovine)		Residue cell medium containing FBS
P00741	FA9_BOVIN	reviewed	"Coagulation factor IX (EC 3.4.21.22) (Christmas factor) [Cleaved into: Coagulation factor IXa light chain; Coagulation factor IXa heavy chain]"	F9	Bos taurus (Bovine)		Residue cell medium containing FBS
P00743	FA10_BOVIN	reviewed	"Coagulation factor X (EC 3.4.21.6) (Stuart factor) [Cleaved into: Factor X light chain; Factor X heavy chain; Activated factor Xa heavy chain]"	F10	Bos taurus (Bovine)		Residue cell medium containing FBS
P00745	PROC_BOVIN	reviewed	"Vitamin K-dependent protein C (EC 3.4.21.69) (Anticoagulant protein C) (Autoprothrombin IIA) (Blood coagulation factor XIV) [Cleaved into: Vitamin K-dependent protein C light chain; Vitamin K-dependent protein C heavy chain; Activation peptide] (Fragment)"	PROC	Bos taurus (Bovine)		Residue cell medium containing FBS
P01017	ANGT_BOVIN	reviewed	"Angiotensinogen (Serpin A8) [Cleaved into: Angiotensin-1 (Angiotensin 1-10) (Angiotensin I) (Ang I); Angiotensin-2 (Angiotensin 1-8) (Angiotensin II) (Ang II); Angiotensin-3 (Angiotensin 2-8) (Angiotensin III) (Ang III) (Des-Asp[1]-angiotensin II); Angiotensin-4 (Angiotensin 3-8) (Angiotensin IV) (Ang IV); Angiotensin 1-9; Angiotensin 1-7; Angiotensin 1-5; Angiotensin 1-4]"	AGT	Bos taurus (Bovine)		Residue cell medium containing FBS
P01035	CYTC_BOVIN	reviewed	Cystatin-C (Colostrum thiol proteinase inhibitor) (Cystatin-3)	CST3	Bos taurus (Bovine)		Residue cell medium containing FBS
P01267	THYG_BOVIN	reviewed	Thyroglobulin (Tg)	TG	Bos taurus (Bovine)		Residue cell medium containing FBS
P02453	CO1A1_BOVIN	reviewed	Collagen alpha-1(I) chain (Alpha-1 type I collagen)	COL1A1	Bos taurus (Bovine)		Residue cell medium containing FBS
P02465	CO1A2_BOVIN	reviewed	Collagen alpha-2(I) chain (Alpha-2 type I collagen)	COL1A2	Bos taurus (Bovine)		Residue cell medium containing FBS
P07589	FINC_BOVIN	reviewed	Fibronectin (FN) [Cleaved into: Anastellin]	FN1	Bos taurus (Bovine)		Residue cell medium containing FBS
P08169	MPRI_BOVIN	reviewed	Cation-independent mannose-6-phosphate receptor (CI Man-6-P receptor) (CI-MPR) (M6PR) (300 kDa mannose 6-phosphate receptor) (MPR 300) (Insulin-like growth factor 2 receptor) (Insulin-like growth factor II receptor) (IGF-II receptor) (CD antigen CD222)	IGF2R M6P	Bos taurus (Bovine)		Residue cell medium containing FBS
P12799	FIBG_BOVIN	reviewed	Fibrinogen gamma-B chain (Gamma')	FGG	Bos taurus (Bovine)		Residue cell medium containing FBS
P13384	IBP2_BOVIN	reviewed	Insulin-like growth factor-binding protein 2 (IBP-2) (IGF-binding protein 2) (IGFBP-2)	IGFBP2	Bos taurus (Bovine)		Residue cell medium containing FBS
P13605	FMOD_BOVIN	reviewed	Fibromodulin (FM) (Collagen-binding 59 kDa protein) (Keratan sulfate proteoglycan fibromodulin) (KSPG fibromodulin)	FMOD	Bos taurus (Bovine)		Residue cell medium containing FBS
P18902	RET4_BOVIN	reviewed	Retinol-binding protein 4 (Plasma retinol-binding protein) (PRBP) (RBP)	RBP4	Bos taurus (Bovine)		Residue cell medium containing FBS
P33433	HRG_BOVIN	reviewed	Histidine-rich glycoprotein (Histidine-proline-rich glycoprotein) (HPRG) (Fragments)	HRG	Bos taurus (Bovine)		Residue cell medium containing FBS
P55906	BGH3_BOVIN	reviewed	Transforming growth factor-beta-induced protein ig-h3 (Beta ig-h3) (MP70) (MP78)	TGFBI BIGH3	Bos taurus (Bovine)		Residue cell medium containing FBS
P60712	ACTB_BOVIN	reviewed	Actin, cytoplasmic 1 (Beta-actin) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]	ACTB	Bos taurus (Bovine)		Residue cell medium containing FBS
