,A_LFQ,B_LFQ,A,B
sp|P61966|AP1S1_HUMAN,4720984.392307544,3993119.147948701,4909529.71543978,3804573.824816466
sp|P18077|RL35A_HUMAN,80219043.61709736,79584917.3001389,48908476.52875982,110895484.38847645
sp|Q9ULV4|COR1C_HUMAN,203194567.6898046,209228903.95336258,235134862.35136002,177288609.2918071
sp|Q7L2E3|DHX30_HUMAN,35243735.66531811,34726101.6499828,32056272.572131943,37913564.743168965
sp|P49736|MCM2_HUMAN,278032893.67243564,286096338.9945827,262817461.08619922,301311771.5808192
sp|P07339|CATD_HUMAN,466722631.7129381,428110812.49752784,462425515.25373125,432407928.9567348
sp|O15355|PPM1G_HUMAN,136206649.61836588,142708839.19469404,134828077.42748648,144087411.38557345
sp|P49593|PPM1F_HUMAN,,,816495.4081673878,649963.9076811615
sp|P15121|ALDR_HUMAN,577928157.948128,565011971.9289458,525790785.72824013,617149344.1488338
sp|Q5JSZ5|PRC2B_HUMAN,3480796.1217365647,3159900.433825303,4121438.2047769586,2519258.350784909
sp|P42285|MTREX_HUMAN,135151001.59558284,138323549.02366546,128928102.73653604,144546447.88271224
sp|P28066|PSA5_HUMAN,437784221.20002764,440442478.30691844,471463072.0540484,406763627.4528976
sp|Q9Y697|NFS1_HUMAN,17626503.648680747,15904187.287427992,17518127.48828054,16012563.4478282
sp|Q01813|PFKAP_HUMAN,509569554.39220995,522960647.1942192,527746613.04227346,504783588.5441556
sp|Q9H6Y2|WDR55_HUMAN,3492680.9053631285,3125123.4266024623,2832109.8326052115,3785694.499360378
sp|P21926|CD9_HUMAN,6837346.229918696,6984761.318861364,7012629.042248391,6809478.506531671
sp|Q9Y316|MEMO1_HUMAN,11891679.15463635,13059106.708716098,13873556.931140192,11077228.932212256
sp|O14980|XPO1_HUMAN,368450154.25784236,352195987.52058023,365314269.0883468,355331872.69007576
sp|O75165|DJC13_HUMAN,19804543.160691123,19957773.03841978,21653858.272001434,18108457.92710947
sp|Q12765|SCRN1_HUMAN,66308788.14727734,73939136.51556072,82705642.80467124,57542281.85816682
sp|P62081|RS7_HUMAN,477001465.6004323,503583637.3538524,495833686.3196117,484751416.634673
sp|P26358|DNMT1_HUMAN,28909864.96853553,30476206.582507115,29434256.451840837,29951815.099201802
sp|Q14240|IF4A2_HUMAN,59814079.701327376,60334922.38209856,56429768.87387709,63719233.209548846
sp|Q92616|GCN1_HUMAN,164507476.91599366,157994089.53549412,171094905.79019117,151406660.66129664
sp|P61923|COPZ1_HUMAN,46876969.29133507,47553620.632065386,52699301.397842914,41731288.52555755
sp|Q86X55|CARM1_HUMAN,14115064.980003025,16099995.435058882,15523525.62690557,14691534.788156334
sp|P19367|HXK1_HUMAN,102745868.79333037,98764545.49751374,103918172.25212419,97592242.03871992
sp|P40763|STAT3_HUMAN,157911239.77319676,158175532.21861368,170743016.53366536,145343755.45814505
sp|Q13509|TBB3_HUMAN,600198053.9287686,496855069.6261988,678535953.7270926,418517169.82787466
sp|P25205|MCM3_HUMAN,433411714.0121921,445835066.05667806,432758166.82636535,446488613.24250484
sp|P55265|DSRAD_HUMAN,137656744.60426292,143100641.8234755,132252559.24831475,148504827.1794237
sp|P08133|ANXA6_HUMAN,436833338.66546345,423376109.8706886,448265640.57975656,411943807.9563955
sp|P51114|FXR1_HUMAN,100577370.0658586,100839425.52675757,99570760.96234314,101846034.63027303
sp|Q07960|RHG01_HUMAN,102165841.39531939,112092240.64528486,107668087.75036359,106589994.29024068
sp|P60900|PSA6_HUMAN,222356684.85113934,231806385.29067355,208068472.5126421,246094597.62917086
sp|Q92945|FUBP2_HUMAN,356424456.61131567,363550958.3724977,358888322.06932294,361087092.9144903
sp|Q14157|UBP2L_HUMAN,180850874.95719382,182854888.7827283,195411856.12748513,168293907.612437
sp|Q9BU89|DOHH_HUMAN,12276371.33537063,10857326.14913841,12387492.71007871,10746204.774430329
sp|O60869|EDF1_HUMAN,117294742.43164286,113503351.32484342,116857842.65937883,113940251.09710744
sp|Q02878|RL6_HUMAN,493692499.7899508,518625430.2023354,506809205.8733388,505508724.1189474
sp|Q16513|PKN2_HUMAN,28514755.73511283,31847477.18836838,30733024.94892571,29629207.974555496
Q3SZR3,119108846.13522843,113789389.24496369,130328294.5952138,102569940.78497833
sp|Q7LBR1|CHM1B_HUMAN,18734749.069253337,20034199.5086039,20698078.77331909,18070869.804538146
sp|O43242|PSMD3_HUMAN,205350752.01387617,208069256.4588744,209834858.45132902,203585150.02142155
sp|P41091|IF2G_HUMAN,633406638.1910393,627855025.5194478,607813340.9774517,653448322.7330351
sp|P30153|2AAA_HUMAN,505417530.09280145,465903958.03017193,515386005.16906035,455935482.95391303
sp|Q9Y618|NCOR2_HUMAN,13037306.156521374,13176960.320722705,15998220.024148006,10216046.453096071
sp|Q8N6H7|ARFG2_HUMAN,28167211.90735856,27172318.898299616,26747520.332498956,28592010.47315922
sp|Q9NP61|ARFG3_HUMAN,11610468.398221102,10875940.874358395,11784546.665145066,10701862.60743443
sp|Q5T8P6|RBM26_HUMAN,23372485.7312781,23504491.445993654,24885670.646660525,21991306.530611224
sp|Q14181|DPOA2_HUMAN,8686340.03400853,9996059.43386708,8628596.706720201,10053802.761155415
sp|P83731|RL24_HUMAN,29156814.32300314,20390873.368372727,29228098.203727987,20319589.487647876
sp|P14866|HNRPL_HUMAN,702825478.7841693,702110322.5259651,693899340.0355371,711036461.2745973
sp|Q16555|DPYL2_HUMAN,450644729.4204619,463154446.5485065,422489078.28164923,491310097.6873192
sp|Q14195|DPYL3_HUMAN,267238048.75252837,277813212.6276455,265499451.05865642,279551810.32151747
sp|Q99598|TSNAX_HUMAN,18404994.148913786,20236452.79576014,15633547.503390944,23007899.441282984
sp|O14818|PSA7_HUMAN,293343228.0960209,290214755.95968765,289646569.24811023,293911414.8075983
sp|Q9NYU2|UGGG1_HUMAN,70811443.67534143,76062532.14996329,74878620.15637866,71995355.6689261
sp|Q9UH65|SWP70_HUMAN,62757507.19076996,65455399.63014432,76468430.51770398,51744476.3032103
sp|Q92783|STAM1_HUMAN,21645656.589380417,22337022.242243163,18477345.41894694,25505333.41267664
sp|O14639|ABLM1_HUMAN,31973614.3578308,32223599.882959366,30729253.99374481,33467960.24704536
sp|O00232|PSD12_HUMAN,128149415.9251888,134550630.04513896,129700010.36631268,133000035.60401508
sp|P62191|PRS4_HUMAN,106963095.6610295,104478053.70287938,108480074.51613145,102961074.84777741
sp|Q9P0K7|RAI14_HUMAN,80346600.54828693,79167839.22101744,79300970.22856799,80213469.54073638
sp|P62993|GRB2_HUMAN,99108326.67476435,92635296.82357141,92631880.07396163,99111743.42437413
sp|Q13442|HAP28_HUMAN,126833853.68043503,130278502.10241291,122836098.82136558,134276256.96148235
sp|O15020|SPTN2_HUMAN,24012702.312118415,23977983.461797882,21674328.930291668,26316356.84362464
sp|P08397|HEM3_HUMAN,18627865.58901539,20612368.507529944,18963335.689803757,20276898.406741578
sp|Q96AC1|FERM2_HUMAN,224395679.57488704,218293372.88199756,230203999.24836022,212485053.20852435
sp|P15311|EZRI_HUMAN,813213661.3183631,846958851.9084189,695579680.5757343,964592832.6510477
sp|P17612|KAPCA_HUMAN,61337249.47098864,57860540.711030975,58767832.70001579,60429957.48200382
sp|Q9Y2D5|AKAP2_HUMAN,43811960.52744387,43873475.057427675,42712505.436864346,44972930.1480072
sp|Q6DKJ4|NXN_HUMAN,5317352.507234792,7026356.381904762,6055059.150081404,6288649.73905815
sp|Q9Y3A4|RRP7A_HUMAN,3761543.102324505,3272716.364240378,3612599.401986938,3421660.064577945
sp|Q07666|KHDR1_HUMAN,421638952.66433185,399763347.07618123,431462703.31900424,389939596.4215088
sp|P11940|PABP1_HUMAN,1017945227.28104,1041742148.937485,1050729755.5949264,1008957620.6235983
sp|Q13451|FKBP5_HUMAN,35908327.19342989,38999547.019310385,36898835.12943309,38009039.08330718
sp|Q9H446|RWDD1_HUMAN,15735512.348081682,11542228.614668395,14622249.793559907,12655491.16919017
sp|P11021|BIP_HUMAN,2308564560.563656,2342233032.137174,2516755069.6299777,2134042523.0708518
sp|Q9BWF3|RBM4_HUMAN,118353278.05640148,120142305.23210981,127521469.35486501,110974113.93364628
sp|P27797|CALR_HUMAN,791024089.1110669,764752565.4561511,728767540.4989762,827009114.0682418
sp|P24666|PPAC_HUMAN,58909659.870180584,70851937.48329589,53021147.231540695,76740450.12193578
P08729,2181788622.1926074,2252781338.941561,2118363033.0043,2316206928.1298685
sp|P40855|PEX19_HUMAN,20639207.068241376,18479084.772336464,20379581.887995675,18738709.952582162
P15497,202317469.79467976,197388443.35828316,211772018.40983984,187933894.74312305
sp|P35249|RFC4_HUMAN,56591552.53888892,52727408.73059302,63253452.67786853,46065508.59161339
sp|P00367|DHE3_HUMAN,173015564.66559336,175448302.5588342,167116268.8444997,181347598.37992784
sp|Q8NC51|PAIRB_HUMAN,726201125.355893,722989848.9020088,770345091.6197762,678845882.6381257
sp|Q9BRX2|PELO_HUMAN,11867867.487670923,11859830.299747556,10031406.259447534,13696291.527970944
sp|P38646|GRP75_HUMAN,1726639757.1966343,1749745731.1215963,1628281899.9527147,1848103588.3655157
"sp|P16402|H13_HUMAN,sp|P10412|H14_HUMAN",12883359.647672603,19409885.450382292,13001304.81654073,19291940.281514164
sp|O15511|ARPC5_HUMAN,99263586.68824673,94716690.18483095,106119671.83436027,87860605.03871743
sp|Q01650|LAT1_HUMAN,43296826.32126578,42654338.45995379,41008224.77558969,44942940.00562988
sp|Q96GK7|FAH2A_HUMAN,14191940.785776183,14518235.256638728,12483918.914378837,16226257.128036072
sp|P22830|HEMH_HUMAN,2404930.0509263044,2271633.662739855,2829519.6497732312,1847044.0638929289
sp|Q9HAV7|GRPE1_HUMAN,75701894.93502815,78978139.78701463,75157472.50682402,79522562.21521878
sp|P52888|THOP1_HUMAN,78170837.12989922,82265752.92866401,79568322.64411438,80868267.41444887
sp|Q9BQE5|APOL2_HUMAN,8497216.754665537,4424528.799678655,8627788.055855734,4293957.498488457
sp|Q15382|RHEB_HUMAN,28499839.18679391,28515327.785822958,32292259.17062194,24722907.801994927
sp|Q7L4I2|RSRC2_HUMAN,7044017.659503078,5783099.958754831,6880198.201563876,5946919.416694032
sp|Q13033|STRN3_HUMAN,5636268.011304079,4931307.306307427,8251376.527248349,2316198.7903631567
sp|P37837|TALDO_HUMAN,453475066.6311809,463094618.2814384,462844992.88833165,453724692.0242877
sp|Q9NUJ1|ABHDA_HUMAN,13305983.29978666,13540621.220636804,14313907.710189324,12532696.81023414
sp|Q96T88|UHRF1_HUMAN,30696959.282166336,31236660.937950686,30268092.753991105,31665527.466125917
sp|Q8NB90|AFG2H_HUMAN,26726115.613020573,25909715.4853355,25903663.37017153,26732167.728184544
sp|Q96A65|EXOC4_HUMAN,7782061.530334934,7113723.806830915,6776870.449218803,8118914.887947043
sp|Q8NBS9|TXND5_HUMAN,444359555.375774,463763789.8754477,409702720.6786242,498420624.57259756
sp|O95239|KIF4A_HUMAN,25163304.52742737,27973106.24752025,24229563.35998773,28906847.41495988
sp|Q86Y56|DAAF5_HUMAN,16418217.007695666,17469344.92526757,16641187.416845437,17246374.5161178
sp|Q9NPD3|EXOS4_HUMAN,37450073.98352943,39719150.20085866,37972555.06960382,39196669.11478427
sp|Q9Y3B8|ORN_HUMAN,23575284.472045958,22885345.98375494,24984026.76712048,21476603.688680418
sp|P17275|JUNB_HUMAN,11103902.430144627,11157739.374821674,10621296.87311655,11640344.931849752
sp|P49368|TCPG_HUMAN,974219857.4613575,1011709652.131985,993824590.1864806,992104919.4068615
sp|Q06210|GFPT1_HUMAN,142695968.05093327,147973609.61421144,139870388.78835025,150799188.8767945
sp|P35998|PRS7_HUMAN,256605028.7114719,253514003.1871526,259438961.31477764,250680070.58384684
sp|P38606|VATA_HUMAN,265681782.71850824,275554349.7112994,273156492.90218323,268079639.5276245
sp|Q13247|SRSF6_HUMAN,155765679.44541645,157384942.93336564,178321805.32692316,134828817.05185893
sp|Q96EQ0|SGTB_HUMAN,4571468.003589512,4905856.991803409,5947542.595185804,3529782.400207118
sp|P14927|QCR7_HUMAN,30100299.11735642,30259989.676799804,32427149.70033556,27933139.09382067
sp|Q7Z478|DHX29_HUMAN,14596774.083269658,13658727.179615926,13495953.153568912,14759548.109316671
sp|P50579|MAP2_HUMAN,43256999.06011166,45825406.89729016,41921020.213445425,47161385.74395638
sp|Q9UID3|VPS51_HUMAN,4060333.062178897,4164449.7928034235,1770999.6533213598,6453783.201660961
sp|P22061|PIMT_HUMAN,253733772.94677433,265462240.73905042,249647612.95809183,269548400.7277329
sp|P26447|S10A4_HUMAN,398785029.37848055,376729738.69936514,393185195.56294507,382329572.5149006
sp|P68400|CSK21_HUMAN,88040877.65583025,88336591.86357623,90979304.94853783,85398164.57086867
sp|Q6XQN6|PNCB_HUMAN,14551208.398003502,12187098.720783092,15744397.660813726,10993909.45797287
sp|Q15750|TAB1_HUMAN,8751196.724852247,8393173.86838253,10315576.447970456,6828794.145264324
sp|Q00796|DHSO_HUMAN,137234679.8942784,138281416.369596,130334133.98231678,145181962.28155765
sp|P14550|AK1A1_HUMAN,124816130.32085668,127003618.25637303,136835940.23923865,114983808.33799106
sp|P38159|RBMX_HUMAN,674587354.9291086,724327029.2467,568790793.8529003,830123590.3229083
"sp|P19012|K1C15_HUMAN,ENSEMBL:ENSP00000377550,P19012,Q6IFX2,P13646-1,P02533,P08779,sp|P02533|K1C14_HUMAN,sp|P08779|K1C16_HUMAN,sp|P13646|K1C13_HUMAN",967821.3553022764,,967821.3553022764,
sp|Q9BTC0|DIDO1_HUMAN,49685345.33620311,52672073.37191657,52990516.18470034,49366902.52341935
sp|O95347|SMC2_HUMAN,161919617.40317616,170178387.43160376,163577986.4326629,168520018.40211692
sp|Q93045|STMN2_HUMAN,127025229.67749539,99182244.13049953,127025229.67749538,99182244.13049951
sp|P42166|LAP2A_HUMAN,183169101.82564458,181624378.07213262,182271828.193067,182521651.70471013
sp|P42695|CNDD3_HUMAN,3817320.42569775,2040043.574141213,853689.4033046896,5003674.596534273
sp|Q16881|TRXR1_HUMAN,661216804.3652503,663105541.2256002,639527344.0716876,684795001.519163
sp|P43304|GPDM_HUMAN,64862796.18733376,64532737.434802555,64301810.32267262,65093723.299463704
sp|Q07866|KLC1_HUMAN,118043746.84249894,122298330.28038956,118183702.31894514,122158374.80394338
sp|O43765|SGTA_HUMAN,27268991.184254017,29101138.261018917,26944311.81879334,29425817.626479596
sp|P35580|MYH10_HUMAN,198779403.88955888,204871297.73503506,185976002.29238218,217674699.33221176
sp|P26038|MOES_HUMAN,2580017802.8755336,2656597126.558039,2475223415.7661896,2761391513.6673837
sp|Q9Y617|SERC_HUMAN,207959455.23130533,208892655.8562092,198198059.66417024,218654051.4233443
sp|Q7L014|DDX46_HUMAN,215265946.55391875,220921589.3360271,202569206.5629345,233618329.3270114
sp|Q99614|TTC1_HUMAN,71209396.48626466,67684232.19821998,66757972.359940365,72135656.3245443
sp|Q9BXY0|MAK16_HUMAN,11675836.21621771,13384745.799434783,12837890.706859153,12222691.308793342
sp|Q9Y2Z0|SGT1_HUMAN,140960828.90873647,140833447.98616573,144398802.58547997,137395474.3094222
sp|Q9Y230|RUVB2_HUMAN,300707537.7765849,305126315.67740285,316252207.7979584,289581645.6560294
sp|P46940|IQGA1_HUMAN,1255955105.962368,1296229152.230647,1209866540.823388,1342317717.369627
sp|Q9Y265|RUVB1_HUMAN,370796172.27669793,400223399.1019591,359457250.1883047,411562321.1903523
Q1RMK2,3709664.022794355,7178828.679300814,6031225.241196398,4857267.460898773
sp|O60832|DKC1_HUMAN,45246298.88443716,47278509.005083136,45359362.22074867,47165445.66877162
sp|Q00403|TF2B_HUMAN,19336083.031554293,11820122.709035408,17567271.726386975,13588934.014202725
sp|Q9NT62|ATG3_HUMAN,30248725.137608178,30681734.956485152,27693364.316295605,33237095.77779773
sp|Q14152|EIF3A_HUMAN,446647364.7045453,432511430.7139004,440690672.59231085,438468122.82613486
sp|O43809|CPSF5_HUMAN,121074731.72012469,118613574.92565145,127683005.30702412,112005301.338752
sp|P46108|CRK_HUMAN,55113309.51275381,55657820.23123889,58473562.898775734,52297566.84521695
sp|Q9NYB9|ABI2_HUMAN,1430570.9685076072,,1430570.9685076072,
sp|P24941|CDK2_HUMAN,46594304.59681252,42921197.97105824,46368098.84463258,43147403.723238185
sp|Q9NQT4|EXOS5_HUMAN,28416911.282774277,26979184.668221455,27316331.278519265,28079764.67247646
"sp|P35520|CBS_HUMAN,sp|P0DN79|CBSL_HUMAN",90935072.7972092,89173787.9447765,83976446.36249536,96132414.37949035
sp|Q9NUQ3|TXLNG_HUMAN,13302819.553022724,13515420.865690744,13580496.426372569,13237743.9923409
sp|P54725|RD23A_HUMAN,5724967.968270762,12744572.098902617,7309260.909568753,11160279.157604624
sp|O75390|CISY_HUMAN,127950673.3915842,132229472.92477904,128737666.85031569,131442479.46604756
P12763,2295469268.579971,2387556537.0039988,2028890876.0601952,2654134929.523775
sp|Q8NI36|WDR36_HUMAN,42437286.99053702,44024883.94655932,46509905.49779158,39952265.43930476
sp|O15381|NVL_HUMAN,11173988.437118689,5975664.489928184,9453805.79961893,7695847.127427944
sp|P52306|GDS1_HUMAN,40995816.28752324,40545714.67802687,38912438.210176006,42629092.755374104
sp|P30047|GFRP_HUMAN,3781766.5494130966,3529180.3794152546,3781766.5494130966,3529180.3794152546
sp|P36915|GNL1_HUMAN,11486909.435514633,11494679.904355822,12724880.804583924,10256708.535286527
sp|P60660|MYL6_HUMAN,1162338655.2006962,1153172275.016012,1092847754.9753592,1222663175.2413487
sp|P27695|APEX1_HUMAN,414942889.60599107,408731545.2700951,408057881.00677603,415616553.86931026
sp|Q9UBB6|NCDN_HUMAN,10696547.3571147,12725203.941702317,12699523.250039065,10722228.048777949
sp|Q5T6V5|QSPP_HUMAN,20701288.09351269,24074638.70607002,21585743.887798276,23190182.911784437
sp|P14868|SYDC_HUMAN,282488605.02034426,272784496.4281582,295682739.3505536,259590362.097949
sp|Q86W92|LIPB1_HUMAN,20596461.984062724,22917486.182949953,21639122.70382052,21874825.463192157
sp|Q9BTW9|TBCD_HUMAN,80764330.16209869,78377280.81334107,108732739.88864698,50408871.086792774
sp|O14579|COPE_HUMAN,75351038.31980935,72346286.17065856,75187255.11425573,72510069.37621216
sp|Q15102|PA1B3_HUMAN,28131311.648622796,26125915.871908665,28919392.307156723,25337835.213374738
sp|Q16401|PSMD5_HUMAN,168210015.0194588,168828264.24813318,165234357.4319895,171803921.83560243
sp|P50991|TCPD_HUMAN,654083165.2697783,678725051.9962387,584752711.3718596,748055505.8941575
sp|Q9NRL3|STRN4_HUMAN,14320790.619954478,11521481.03500039,14906096.997507527,10936174.657447342
sp|Q92530|PSMF1_HUMAN,5196303.755730791,7081246.014646424,5545480.798577705,6732068.97179951
sp|O75608|LYPA1_HUMAN,46554375.71974022,28744745.04465496,46330671.80596148,28968448.958433688
sp|O95372|LYPA2_HUMAN,105057383.84873593,107940174.20175277,106099637.48290041,106897920.56758831
sp|Q5JRX3|PREP_HUMAN,12609041.312602088,12319343.263871586,13996914.317223527,10931470.259250145
sp|Q8IZP0|ABI1_HUMAN,13106646.095450541,11090187.459415432,15010834.299406093,9185999.255459877
sp|P23381|SYWC_HUMAN,202431689.25893533,202188744.3714246,204349472.46708396,200270961.16327593
sp|Q13232|NDK3_HUMAN,8411893.877732072,9126379.6555759,11980600.24809767,5557673.285210298
sp|Q9Y5P6|GMPPB_HUMAN,28554374.482237726,26552519.816662773,25856639.27889175,29250255.020008747
sp|O00115|DNS2A_HUMAN,24696749.78342291,24643459.7985557,22839607.764223017,26500601.81775559
sp|Q92499|DDX1_HUMAN,399189261.5393488,403753986.8684146,405850177.8567543,397093070.55100906
sp|P15559|NQO1_HUMAN,645149559.9403957,629221635.8492086,640922459.1987281,633448736.5908761
sp|Q9UH62|ARMX3_HUMAN,,,8050721.227511404,930029.149256336
sp|Q05519|SRS11_HUMAN,74598608.9199504,75664203.21084455,60202890.367821075,90059921.76297387
sp|P19388|RPAB1_HUMAN,23010763.92218413,25032668.269746207,21335081.40925844,26708350.78267189
sp|Q9BVL2|NUP58_HUMAN,16143401.686563421,14191730.012341624,10315832.636523662,20019299.06238138
sp|Q7L2H7|EIF3M_HUMAN,115934732.31406508,120241561.04250316,114268867.12335998,121907426.23320827
sp|P12956|XRCC6_HUMAN,1048638608.5017586,1064598314.667684,1000854100.0150375,1112382823.1544049
sp|Q9H0B6|KLC2_HUMAN,19347127.96306331,20108812.091439087,18262981.389255375,21192958.665247027
sp|Q14258|TRI25_HUMAN,69899911.85361882,69043486.27449714,68933652.89906846,70009745.2290475
sp|Q14764|MVP_HUMAN,258468632.73004568,265223619.15242633,265276457.83521563,258415794.04725644
sp|Q6KC79|NIPBL_HUMAN,2150015.7933303397,4856534.284070647,3103026.1068746084,3903523.970526379
sp|P49366|DHYS_HUMAN,22660412.28332324,20135956.905707184,20774560.451437093,22021808.737593334
sp|P42771|CDN2A_HUMAN,196246301.34618482,188690717.3928441,178741422.88272044,206195595.85630855
sp|O15061|SYNEM_HUMAN,8044700.15391039,7744155.590195798,8348007.035155297,7440848.708950891
sp|P40222|TXLNA_HUMAN,55510953.52077122,57857874.229908906,55534363.28778429,57834464.46289583
Q3Y5Z3,12194768.905991813,12839883.584549708,13296371.102639817,11738281.387901703
sp|P07900|HS90A_HUMAN,1997056338.884493,2053469240.7818835,1981914230.1446118,2068611349.5217648
sp|Q70J99|UN13D_HUMAN,4774607.683550795,5869138.341608584,3854079.5122107477,6789666.51294863
sp|Q9HC38|GLOD4_HUMAN,97485422.78006014,114739119.40161197,95629125.53747153,116595416.6442006
sp|P33993|MCM7_HUMAN,373987507.3543781,382283978.1400781,354126527.37921643,402144958.1152398
sp|Q96GM8|TOE1_HUMAN,10392848.795600656,7305528.865171757,8673878.013145022,9024499.647627389
sp|Q1KMD3|HNRL2_HUMAN,281276025.5820057,281204776.11038953,285759848.3550581,276720953.3373371
sp|P06280|AGAL_HUMAN,33758235.76720267,30766523.41693525,32050163.739173524,32474595.444964394
sp|Q02241|KIF23_HUMAN,1894287.9425181681,1702918.8891069505,1986863.0897248941,1610343.7419002245
sp|P50570|DYN2_HUMAN,60424559.27644063,63771468.997222565,66192810.07242877,58003218.20123443
sp|Q9UHB9|SRP68_HUMAN,86442658.11359799,83194149.37477069,80258688.3899054,89378119.09846328
sp|P12429|ANXA3_HUMAN,330762249.381377,360570907.18513554,307773336.0117897,383559820.5547229
sp|Q9NY61|AATF_HUMAN,7608713.2513411585,10397355.975569611,8289660.198732663,9716409.028178107
sp|P21980|TGM2_HUMAN,378279876.86709476,373385113.2448146,328219569.09439194,423445421.0175174
sp|Q15785|TOM34_HUMAN,126319682.74360734,130942877.66645312,133043300.95597075,124219259.4540897
sp|Q9GZT8|NIF3L_HUMAN,39401023.309848934,42361452.47697441,35719258.669589594,46043217.11723375
sp|Q9Y678|COPG1_HUMAN,185965461.80050036,178762965.11899474,180013500.7302225,184714926.1892726
sp|P49588|SYAC_HUMAN,448991701.0172893,463205847.18643624,439744106.73659605,472453441.4671294
sp|Q8IWR0|Z3H7A_HUMAN,4713645.438537695,3909458.726131078,5828858.422961292,2794245.7417074824
sp|P40937|RFC5_HUMAN,36774241.36751862,41356538.78015493,34322288.262328975,43808491.88534458
sp|P43246|MSH2_HUMAN,92083373.75746247,93201903.73710378,88420590.0237226,96864687.47084366
sp|P49915|GUAA_HUMAN,222795336.3104665,231018171.34933096,221360670.44009185,232452837.21970564
sp|P55010|IF5_HUMAN,116583376.0664801,121045668.74016243,117624578.75678486,120004466.04985766
sp|O94760|DDAH1_HUMAN,36976548.0887111,36049420.77462576,34093408.6435792,38932560.21975766
sp|O60841|IF2P_HUMAN,207768273.83598608,203571513.7613635,191690695.78080767,219649091.8165419
sp|P19971|TYPH_HUMAN,1686361.521357766,3890801.667229745,1684129.3070795438,3893033.8815079676
sp|P27816|MAP4_HUMAN,711251492.3347505,679838977.962882,674877434.6799597,716213035.6176732
sp|Q9H6S0|YTDC2_HUMAN,,,816536.1073690235,1258276.7514932114
sp|Q6YN16|HSDL2_HUMAN,52906544.99814023,49553541.60630718,53184811.565493956,49275275.03895345
sp|O43488|ARK72_HUMAN,28416440.162234344,30208463.961259034,28446397.393276013,30178506.730217367
sp|Q9NUL3|STAU2_HUMAN,3352612.2963434714,2990299.540570436,3375503.7702244124,2967408.066689495
sp|Q8NBJ5|GT251_HUMAN,82526657.57486223,85357786.61842588,83223345.64592935,84661098.54735872
sp|Q9UMS4|PRP19_HUMAN,306031490.0367288,301723463.6445003,310530735.63802654,297224218.04320264
sp|Q96P16|RPR1A_HUMAN,20166319.168349262,19880149.50014886,20400391.35868793,19646077.30981019
sp|Q9NQG5|RPR1B_HUMAN,42756938.14311059,35435108.82915148,42457342.91176985,35734704.06049222
sp|O15357|SHIP2_HUMAN,62539073.41985955,64244786.51789106,62229759.51371501,64554100.4240356
sp|P49589|SYCC_HUMAN,161422294.99572745,164077044.09834275,159946754.08679146,165552585.0072787
sp|P40227|TCPZ_HUMAN,615681259.8309776,614012387.2456053,631198487.2319695,598495159.8446136
sp|P63010|AP2B1_HUMAN,129351935.86763656,121733059.78752819,126063947.83511782,125021047.8200469
sp|Q14C86|GAPD1_HUMAN,76116326.88138781,76191220.39797041,75141815.75513613,77165731.5242221
sp|P04062|GLCM_HUMAN,22785909.04220066,21487676.908011083,25796566.42103098,18477019.52918076
sp|A0AVT1|UBA6_HUMAN,62393689.418207236,67761970.96672054,62441499.96284774,67714160.42208003
sp|O14964|HGS_HUMAN,38957699.68472449,34971414.71134644,34371234.79611536,39557879.599955566
sp|Q86YP4|P66A_HUMAN,22266992.60359972,21620772.66167027,23156254.262860157,20731511.00240984
sp|Q13618|CUL3_HUMAN,20145665.812982768,21229111.520288482,19598948.456897214,21775828.87637404
sp|Q8TCD5|NT5C_HUMAN,16317344.55228382,14241208.263863668,17154518.338784564,13404034.477362923
sp|Q96ST2|IWS1_HUMAN,16094980.776099132,17440336.83152021,17578697.129627444,15956620.477991898
sp|A4D2P6|GRD2I_HUMAN,4663510.401569743,4470692.793116805,4663510.401569742,4470692.793116804
sp|Q9Y314|NOSIP_HUMAN,78768044.53303848,83037116.49325009,74202117.51312368,87603043.5131649
sp|O95751|LDOC1_HUMAN,2619531.7867458975,,2619531.7867458975,
sp|P16070|CD44_HUMAN,86131484.44039693,86198516.25755449,83971057.16027752,88358943.5376739
sp|Q9NRR5|UBQL4_HUMAN,57335446.59220205,59564842.19248269,55203548.99943483,61696739.78524991
sp|Q8IVT2|MISP_HUMAN,42079710.557329,41312923.96753124,41978193.00418449,41414441.520675756
sp|Q9BPX3|CND3_HUMAN,48611615.98292474,47014737.2794516,46949326.58823091,48677026.674145445
sp|Q9NQW6|ANLN_HUMAN,11843314.609901773,9584513.28874934,13328019.166456787,8099808.732194324
sp|Q15020|SART3_HUMAN,34400292.32035984,36144401.377402835,35749904.492841594,34794789.20492108
sp|Q8WVM8|SCFD1_HUMAN,16958642.505173843,26398350.11778072,17702687.617452875,25654305.005501688
sp|Q9BSJ8|ESYT1_HUMAN,13381699.90176752,14372067.15097138,12889455.861738645,14864311.191000255
sp|Q93008|USP9X_HUMAN,59935882.153928146,57785268.59614899,84066632.25777258,33654518.49230456
sp|Q9UBQ5|EIF3K_HUMAN,64521527.145426914,62601615.60753493,64185604.27377119,62937538.47919066
sp|P04843|RPN1_HUMAN,41464402.634376384,42650463.962110676,37552692.6593896,46562173.93709747
sp|P23368|MAOM_HUMAN,13545277.603557618,18454395.388028577,12442607.645031566,19557065.346554626
sp|P30626|SORCN_HUMAN,211665558.38512412,209832257.83129245,215784888.3203283,205712927.89608833
